;;;Context Match;;;;Repetitions;;;;100%;;;;95% - 99%;;;;85% - 94%;;;;75% - 84%;;;;50% - 74%;;;;No Match;;;;Total
File;Tagging Errors;Chars/Word;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Characters
"text na SP_UFO.xlsx | en_gb>da_dk";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;1;3;0;0.46;0;0;0;0;0;0;0;0;1;1;0;0.15;39;650;0;98.93;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>de_at";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.15;40;653;0;99.39;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>de_de";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.15;39;650;0;99.16;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>el_gr";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;2;3;0;0.46;0;0;0;0;0;0;0;0;3;8;0;1.22;35;640;0;97.64;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>es_es";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;1.07;38;644;0;98.25;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>et_ee";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;3;8;0;1.22;0;0;0;0;0;0;0;0;6;21;0;3.2;32;625;0;95.13;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>fi_fi";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;1;3;0;0.46;0;0;0;0;0;0;0;0;3;8;0;1.22;37;643;0;97.87;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>fr_be";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;1.22;38;646;0;98.33;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>fr_fr";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.15;39;650;0;99.16;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>hr_hr";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;1;2;0;0.31;0;0;0;0;0;0;0;0;3;8;0;1.22;36;641;0;97.79;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>hu_hu";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;1.22;38;643;0;98.09;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>it_it";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0.76;38;646;0;98.55;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>lt_lt";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;2;5;0;0.76;0;0;0;0;0;0;0;0;6;26;0;3.96;33;623;0;94.82;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>lv_lv";0;5.04;0;0;0;0;0.5;3;0;0.46;0;0;0;0;2;5;0;0.76;0;0;0;0;0;0;0;0;7;30;0;4.57;32;619;0;94.22;41.5;657;0;3313
"text na SP_UFO.xlsx | en_gb>nl_nl";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;2;3;0;0.46;0;0;0;0;0;0;0;0;2;4;0;0.61;36;644;0;98.25;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>pt_pt";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;1;2;0;0.31;0;0;0;0;0;0;0;0;2;4;0;0.61;37;645;0;98.4;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>sl_si";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;2;3;0;0.46;0;0;0;0;0;0;0;0;2;4;0;0.61;36;644;0;98.25;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>sv_se";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.15;39;650;0;99.16;41;655.5;0;3309
"text na SP_UFO.xlsx | en_gb>uk_ua";0;5.04;0;0;0;0;0.5;3;0;0.46;0.5;1.5;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0.76;38;646;0;98.55;41;655.5;0;3309
